Sno,N,E,,,Left_N,Left_E,Right_N,Right_E
L1,1012.352,1005.594,,,1012.352,1005.594,1003.355,1003.78
L2,1011.427,1011.475,,,1011.427,1011.475,1002.082,1010.163
L3,1010.638,1016.077,,,1010.638,1016.077,1001.329,1015.164
L4,1010.135,1020.771,,,1010.135,1020.771,1000.821,1020.14
L5,1009.742,1025.283,,,1009.742,1025.283,1000.553,1025.116
L6,1009.566,1029.959,,,1009.566,1029.959,1000.48,1030.152
L7,1009.298,1035.004,,,1009.298,1035.004,1000.498,1035.177
L8,1009.399,1039.666,,,1009.399,1039.666,1000.598,1040.15
L9,1009.569,1044.461,,,1009.569,1044.461,1000.955,1045.176
L10,1010.1,1049.196,,,1010.1,1049.196,1001.288,1050.154
L11,1010.613,1053.87,,,1010.613,1053.87,1001.791,1055.167
L12,1011.3,1058.624,,,1011.3,1058.624,1002.621,1060.056
L13,1012.269,1063.115,,,1012.269,1063.115,1003.379,1065.036
L14,1013.384,1068.159,,,1013.384,1068.159,1004.474,1070.14
L15,1016.017,1076.15,,,1016.017,1076.15,1006.983,1078.979
L16,1018.261,1084.268,,,1018.261,1084.268,1010.008,1087.596
,,,,,,,,
R1,1003.355,1003.78,,,,,,
R2,1002.082,1010.163,,,,,,
R3,1001.329,1015.164,,,,,,
R4,1000.821,1020.14,,,,,,
R5,1000.553,1025.116,,,,,,
R6,1000.48,1030.152,,,,,,
R7,1000.498,1035.177,,,,,,
R8,1000.598,1040.15,,,,,,
R9,1000.955,1045.176,,,,,,
R10,1001.288,1050.154,,,,,,
R11,1001.791,1055.167,,,,,,
R12,1002.621,1060.056,,,,,,
R13,1003.379,1065.036,,,,,,
R14,1004.474,1070.14,,,,,,
R15,1006.983,1078.979,,,,,,
R16,1010.008,1087.596,,,,,,
,,,,,,,,
C1,1007.8535,1004.687,,,,,,
C2,1006.7545,1010.819,,,,,,
C3,1005.9835,1015.6205,,,,,,
C4,1005.478,1020.4555,,,,,,
C5,1005.1475,1025.1995,,,,,,
C6,1005.023,1030.0555,,,,,,
C7,1004.898,1035.0905,,,,,,
C8,1004.9985,1039.908,,,,,,
C9,1005.262,1044.8185,,,,,,
C10,1005.694,1049.675,,,,,,
C11,1006.202,1054.5185,,,,,,
C12,1006.9605,1059.34,,,,,,
C13,1007.824,1064.0755,,,,,,
C14,1008.929,1069.1495,,,,,,
C15,1011.5,1077.5645,,,,,,
C16,1014.1345,1085.932,,,,,,
