Authors,Title,Publication,Number,Year,Publisher
"Yixin Chen , Mohammed Quddus c , Xuesong Wang",Impact of combined alignments on lane departure: A simulator study for mountainous freeways,,45,2018.0,Elsevier
"Chen, Jilong; Chen, Feng; Zhao, Suiyang; ",Lateral safety evaluation of autonomous trucks in overtaking maneuvers and adverse weather: exploratory comparison of different lateral control modes,Accident Analysis & Prevention,,2024.0,Elsevier
"Li, Sixu; Anis, Mohammad; Lord, Dominique; Zhang, Hao; Zhou, Yang; Ye, Xinyue; ",Beyond 1D and oversimplified kinematics: A generic analytical framework for surrogate safety measures,Accident Analysis & Prevention,,2024.0,Elsevier
"Wang, Yuxuan; Xu, Chengcheng; Liu, Pan; Li, Zhibin; Chen, Kequan; ",Assessing the predictability of surrogate safety measures as crash precursors based on vehicle trajectory data prior to crashes,Accident Analysis & Prevention,,2024.0,Elsevier
"Ahac, Saša; Ahac, Maja; ",Influence of truck apron design on two-geometry roundabouts’ speed management potential,8th International Conference on Road and Rail Infrastructure,,2024.0,
"Alshehri, Abdulaziz H; Farooq, Muhammad Umer; Farhan, Abdul; Yosri, Ahmed M; Alanazi, Fayez; Deifallah, Ahmed Farouk; Okail, Mohamed Ahmed; ",A surrogate safety analysis at sharp gore areas of diverging freeway ramps using micro simulation under congested traffic conditions,Scientific reports,1,2023.0,Nature Publishing Group UK London
"Zhenhua Dai , Cunshu Pan , Wenlei Xiong , Rui Ding , Heshan Zhang and Jin Xu ",Research on Vehicle Trajectory Deviation Characteristics on Freeways Using Natural Driving Trajectory Data,,,2022,Research Gate
"Bhattarai, Nischal; Zhang, Yibin; Liu, Hongchao; Xu, Hao; ",Study on the Deviation Characteristics of Driving Trajectories for Autonomous Vehicles and the Design of Dedicated Lane Widths,Accident Analysis & Prevention,,2022.0,Elsevier
"uansheng Cao , Yonggang Liao , Jiancong Lai , Tianjie Shen and Xiaofei Wang",Studying the safety impact of sharing different levels of connected and automated vehicles using simulation based surrogate safety measures,,,2024.0,Universidad de Granada
Banihan GunayD. Woodward,Lateral position of traffic negotiating horizontal bends,,,2007.0,
"Zhiwei Chen , Shaofeng Wu, Zhenhua Dai,  Zhengwei Chen ,Cunshu Pan ,Jin Xu",A study of vehicle lateral position characteristics and passenger cars’ special lane width on expressways,,,2022.0,ScienceDirect
"Jiang, Ruoxi; Zhu, Shunying; Chang, Hongguang; Wu, Jingan; Ding, Naikan; Liu, Bing; Qiu, Ji; ",Determining an improved traffic conflict indicator for highway safety estimation based on vehicle trajectory data,Sustainability,16,2021.0,MDPI
"Hou, Wei; Du, Zijun; Liu, Zhaoxin; Wang, Xu; ",Safety evaluation on central separation opening of reconstructed freeway based on surrogate safety assessment model,International Journal of Innovative Computing and Applications,5-6,2021.0,Inderscience Publishers (IEL)
"Ma, Yanli; Zhu, Jieyu; ",Left-turn conflict identification at signal intersections based on vehicle trajectory reconstruction under real-time communication conditions,Accident Analysis & Prevention,,2021.0,Elsevier
"Qi, Weiwei; Wang, Wei; Shen, Bin; Wu, Jiabin; ",A modified post encroachment time model of urban road merging area based on lane-change characteristics,IEEE Access,,2020.0,IEEE
"Wang, Chen; Xu, Chengcheng; Dai, Yulu; ",A crash prediction method based on bivariate extreme value theory and video-based vehicle trajectory data,Accident Analysis & Prevention,,2019.0,Elsevier
